City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Kodiak,US,2022-04-07 02:57:59,57.79,-152.4072,276.26,70,90,4.11
170,Magadan,RU,2022-04-07 02:59:51,59.5667,150.8,270.97,74,100,11.28
171,Jieshi,CN,2022-04-07 02:59:52,22.8134,115.8257,298.68,63,33,4.34
172,Ati,TD,2022-04-07 02:59:53,13.2154,18.3353,301.76,13,22,4.0
173,Lucapa,AO,2022-04-07 02:59:53,-8.4192,20.7447,291.62,97,97,1.45
174,Rio Grande,BR,2022-04-07 02:55:28,-32.035,-52.0986,291.0,83,0,4.76
175,Huron,US,2022-04-07 02:59:54,41.1501,-82.5499,282.22,88,47,2.92
176,Hovd,MN,2022-04-07 02:59:55,48.0056,91.6419,285.88,13,90,1.65
177,Praxedis Guerrero,MX,2022-04-07 02:59:56,31.3667,-106.0167,294.98,18,0,1.12
178,Trincomalee,LK,2022-04-07 02:59:56,8.5711,81.2335,300.29,76,73,2.35
179,Salta,AR,2022-04-07 02:59:57,-24.7859,-65.4117,290.14,86,0,1.54
180,Morondava,MG,2022-04-07 02:59:58,-20.2833,44.2833,297.72,62,3,2.24
181,Ternate,ID,2022-04-07 03:00:58,0.8,127.4,302.02,72,100,4.55
182,Te Anau,NZ,2022-04-07 02:51:55,-45.4167,167.7167,285.29,53,17,0.9
183,Bajil,YE,2022-04-07 03:00:59,15.0584,43.2851,298.68,65,0,0.96
184,Bethanien,NA,2022-04-07 03:01:00,-26.502,17.1583,288.04,38,100,2.02
185,Kununurra,AU,2022-04-07 03:01:00,-15.7667,128.7333,307.14,52,11,2.57
186,Karasburg,NA,2022-04-07 03:01:01,-28.0167,18.75,286.21,46,100,5.61
187,Colares,PT,2022-04-07 03:01:02,38.7992,-9.4469,287.46,61,97,5.81
188,Kozova,UA,2022-04-07 03:01:03,49.4354,25.1509,279.74,79,93,3.99
189,Mount Isa,AU,2022-04-07 03:01:03,-20.7333,139.5,306.02,14,0,7.2
190,Port Hedland,AU,2022-04-07 03:01:04,-20.3167,118.5667,309.18,24,7,5.66
191,Guarapari,BR,2022-04-07 03:01:04,-20.6667,-40.4975,298.09,89,87,3.75
192,Road Town,VG,2022-04-07 03:01:05,18.4167,-64.6167,298.15,74,0,7.88
193,College,US,2022-04-07 03:01:05,64.8569,-147.8028,278.04,43,44,1.79
194,Teahupoo,PF,2022-04-07 03:01:06,-17.8333,-149.2667,301.13,74,58,9.38
195,Cayenne,GF,2022-04-07 03:01:00,4.9333,-52.3333,299.87,1,75,4.63
196,Pacific Grove,US,2022-04-07 02:56:42,36.6177,-121.9166,295.94,64,0,0.45
197,Sinazongwe,ZM,2022-04-07 03:01:07,-17.2614,27.4618,296.25,84,33,0.67
198,Kampot,KH,2022-04-07 03:01:08,10.6167,104.1833,303.18,58,94,2.97
199,Kiama,AU,2022-04-07 02:58:12,-34.6833,150.8667,292.91,88,100,1.34
200,Sao Joao Da Barra,BR,2022-04-07 02:51:47,-21.6403,-41.0511,297.14,85,100,2.75
