City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,San Patricio,US,28.017,-97.5169,76.064,74,100,8.15,overcast clouds
163,Mackay,AU,-21.15,149.2,73.382,94,75,3.09,broken clouds
164,Punta Cardon,VE,11.6581,-70.215,82.436,67,56,11.36,broken clouds
165,Maldonado,UY,-34.6667,-54.9167,69.188,93,99,5.46,overcast clouds
166,Verkhnevilyuysk,RU,63.4453,120.3167,7.664,98,76,1.02,broken clouds
167,Touros,BR,-5.1989,-35.4608,87.764,57,98,5.78,overcast clouds
168,Eston,CA,51.1501,-108.7514,20.912,53,99,8.72,overcast clouds
169,Dunedin,NZ,-45.8742,170.5036,57.794,72,100,5.36,overcast clouds
170,Upernavik,GL,72.7868,-56.1549,14.234,91,100,2.98,overcast clouds
171,Sao Filipe,CV,14.8961,-24.4956,72.212,71,55,5.86,broken clouds
172,Aykino,RU,62.2248,49.9922,38.984,100,100,2.99,overcast clouds
173,Oranjemund,NA,-28.55,16.4333,75.686,44,2,10.08,clear sky
174,Chengde,CN,40.9725,117.9361,58.028,31,100,1.93,overcast clouds
175,Bambous Virieux,MU,-20.3428,57.7575,77.252,88,75,5.14,light rain
176,Aksu,CN,41.1231,80.2644,70.772,20,100,4,overcast clouds
177,Abapo,BO,-18.8333,-63.4667,86.216,44,16,1.04,few clouds
178,Vieux-Habitants,GP,16.0589,-61.7659,85.712,64,31,4.7,scattered clouds
179,Port Elizabeth,ZA,-33.918,25.5701,77.09,80,0,8.23,clear sky
180,Dingle,PH,10.9995,122.6711,74.552,95,100,4.47,overcast clouds
181,Bluff,NZ,-46.6,168.3333,50.81,81,100,2.47,light rain
182,Roseburg,US,43.2165,-123.3417,37.382,89,100,2.57,overcast clouds
183,Whitehorse,CA,60.7161,-135.0538,13.01,59,20,2.24,few clouds
184,Palmer,US,42.1584,-72.3287,51.656,47,0,2.57,clear sky
185,Erzin,TR,36.9559,36.2,61.376,72,0,4.19,clear sky
186,Mahebourg,MU,-20.4081,57.7,77.288,88,75,5.14,broken clouds
187,Talnakh,RU,69.4865,88.3972,-4.9,94,6,2.64,clear sky
188,Kiyasovo,RU,56.3491,53.1244,36.338,100,100,2.23,overcast clouds
189,Itoman,JP,26.1247,127.6694,73.778,96,75,5.66,broken clouds
190,Cidreira,BR,-30.1811,-50.2056,70.25,83,100,5.71,light rain
191,Dikson,RU,73.5069,80.5464,0.662,92,90,3.83,overcast clouds
192,Seoul,KR,37.5683,126.9778,62.204,86,20,1.03,few clouds
193,Kruisfontein,ZA,-34.0033,24.7314,74.876,64,45,7.36,scattered clouds
194,Zhelyabovka,UA,45.3988,34.7578,56.534,76,100,5.12,overcast clouds
195,Avrig,RO,45.7167,24.3833,43.448,71,99,4.55,overcast clouds
